form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,overabundance_tag,source,page,language_id
pangkhua118,muh,1.sg.2.sg.nfut.neg,kə=muʔ=ne=lo,kəΣnelo,k ə Σ n e l o,kə+Σ+ne+lo,k ə + Σ + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua119,muh,1.sg.2.pl.nfut.neg,kə=muʔ=ei=ne=lo,kəΣeinelo,k ə Σ ei n e l o,kə+Σ+ei+ne+lo,k ə + Σ + ei + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua120,muh,1.pl.2.sg.nfut.neg,kən=muʔ=ne=lo,kənΣnelo,k ə n Σ n e l o,kə+n+Σ+ne+lo,k ə + n + Σ + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua121,muh,1.pl.2.pl.nfut.neg,kən=muʔ=ei=ne=lo,kənΣeinelo,k ə n Σ ei n e l o,kə+n+Σ+ei+ne+lo,k ə + n + Σ + ei + n e + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua122,muh,1.sg.3.sg.nfut.neg,kə=muʔ=lo,kəΣlo,k ə Σ l o,kə+Σ+lo,k ə + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua123,muh,1.sg.3.pl.nfut.neg,kə=muʔ=ei=lo,kəΣeilo,k ə Σ ei l o,kə+Σ+ei+lo,k ə + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua124,muh,1.pl.3.sg.nfut.neg,kən=muʔ=lo,kənΣlo,k ə n Σ l o,kə+n+Σ+lo,k ə + n + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua125,muh,1.pl.3.pl.nfut.neg,kən=muʔ=ei=lo,kənΣeilo,k ə n Σ ei l o,kə+n+Σ+ei+lo,k ə + n + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua126,kal,2.sg.nfut.neg,nə=kal=lo,nəΣlo,n ə Σ l o,nə+Σ+lo,n ə + Σ + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua127,kal,2.pl.nfut.neg,nən=kal=lo,nənΣlo,n ə n Σ l o,nə+n+Σ+lo,n ə + n + Σ + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua128,muh,2.sg.1.sg.nfut.neg,nə=hɒŋ=muʔ=lo,nəhɒŋΣlo,n ə h ɒ ŋ Σ l o,nə+hɒŋ+Σ+lo,n ə + h ɒ ŋ + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua129,muh,2.sg.1.pl.nfut.neg,nə=hɒŋ=muʔ=ei=lo,nəhɒŋΣeilo,n ə h ɒ ŋ Σ ei l o,nə+hɒŋ+Σ+ei+lo,n ə + h ɒ ŋ + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua130,muh,2.pl.1.sg.nfut.neg,nən=hɒŋ=muʔ=lo,nənhɒŋΣlo,n ə n h ɒ ŋ Σ l o,nə+n+hɒŋ+Σ+lo,n ə + n + h ɒ ŋ + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua131,muh,2.pl.1.pl.nfut.neg,nən=hɒŋ=muʔ=ei=lo,nənhɒŋΣeilo,n ə n h ɒ ŋ Σ ei l o,nə+n+hɒŋ+Σ+ei+lo,n ə + n + h ɒ ŋ + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua132,muh,2.sg.3.sg.nfut.neg,nə=muʔ=lo,nəΣlo,n ə Σ l o,nə+Σ+lo,n ə + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua133,muh,2.sg.3.pl.nfut.neg,nə=muʔ=ei=lo,nəΣeilo,n ə Σ ei l o,nə+Σ+ei+lo,n ə + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua134,muh,2.pl.3.sg.nfut.neg,nən=muʔ=lo,nənΣlo,n ə n Σ l o,nə+n+Σ+lo,n ə + n + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua135,muh,2.pl.3.pl.nfut.neg,nən=muʔ=ei=lo,nənΣeilo,n ə n Σ ei l o,nə+n+Σ+ei+lo,n ə + n + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua136,kal,3.sg.nfut.neg,ə=kal=lo,əΣlo,ə Σ l o,ə+Σ+lo,ə + Σ + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua137,kal,3.pl.nfut.neg,ən=kal=lo,ənΣlo,ə n Σ l o,ə+n+Σ+lo,ə + n + Σ + l o,default,,Akter2025Pangkhua,250525,pangkhua
pangkhua138,muh,3.sg.1.sg.nfut.neg,ə=hɒŋ=muʔ=lo,əhɒŋΣlo,ə h ɒ ŋ Σ l o,ə+hɒŋ+Σ+lo,ə + h ɒ ŋ + Σ + l o,default,,Akter2025Pangkhua,250430,pangkhua
pangkhua139,muh,3.sg.1.pl.nfut.neg,ə=hɒŋ=muʔ=ei=lo,əhɒŋΣeilo,ə h ɒ ŋ Σ ei l o,ə+hɒŋ+Σ+ei+lo,ə + h ɒ ŋ + Σ + ei + l o,default,,Akter2025Pangkhua,250430,pangkhua
